performance_metric_3,unit_serial_number,process_end_date
19.362,Unit_254,2022-04-09 18:51
19.278,Unit_255,2022-04-09 20:13
19.235999999999997,Unit_256,2022-04-09 22:59
18.857999999999997,Unit_257,2022-04-09 22:58
19.32,Unit_258,2022-04-10 0:35
19.362,Unit_259,2022-04-10 3:34
19.278,Unit_260,2022-04-10 3:41
19.32,Unit_261,2022-04-10 3:57
18.689999999999998,Unit_262,2022-04-10 7:55
18.732,Unit_263,2022-04-10 3:12
19.067999999999998,Unit_264,2022-04-16 22:36
18.942,Unit_265,2022-05-18 14:34
19.278,Unit_266,2022-05-18 15:16
19.194,Unit_267,2022-05-18 18:45
19.11,Unit_268,2022-05-19 9:21
19.194,Unit_269,2022-05-19 14:45
19.11,Unit_270,2022-05-20 3:20
19.235999999999997,Unit_271,2022-05-21 14:11
19.278,Unit_272,2022-05-21 18:37
19.11,Unit_273,2022-05-22 4:36
19.11,Unit_274,2022-05-22 6:10
18.857999999999997,Unit_275,2022-05-22 8:32
18.857999999999997,Unit_276,2022-05-22 11:33
19.194,Unit_277,2022-05-22 11:04
19.026,Unit_278,2022-05-23 6:47
18.774,Unit_279,2022-05-23 12:19
18.984,Unit_280,2022-05-24 2:02
19.445999999999998,Unit_281,2022-05-24 3:52
19.278,Unit_282,2022-05-24 10:29
18.48,Unit_283,2022-05-24 11:41
19.194,Unit_284,2022-05-24 12:00
19.067999999999998,Unit_285,2022-05-24 11:44
19.026,Unit_286,2022-05-24 11:42
19.11,Unit_287,2022-05-24 20:08
18.564,Unit_288,2022-05-25 2:55
18.354,Unit_289,2022-05-25 8:04
19.194,Unit_290,2022-05-25 16:13
18.564,Unit_291,2022-05-25 18:41
18.984,Unit_292,2022-05-25 23:25
19.11,Unit_293,2022-05-25 21:59
19.445999999999998,Unit_294,2022-05-26 5:14
18.395999999999997,Unit_295,2022-05-26 4:12
19.152,Unit_296,2022-05-26 7:34
18.522,Unit_297,2022-05-26 10:54
19.235999999999997,Unit_298,2022-05-26 14:33
18.605999999999998,Unit_299,2022-05-27 3:35
18.9,Unit_300,2022-05-27 7:56
19.194,Unit_301,2022-05-27 9:53
19.32,Unit_302,2022-05-27 13:14
19.235999999999997,Unit_303,2022-05-28 0:21
18.774,Unit_304,2022-05-28 0:06
18.984,Unit_305,2022-05-28 2:48
18.857999999999997,Unit_306,2022-05-28 4:59
19.194,Unit_307,2022-05-28 6:39
18.774,Unit_308,2022-05-29 15:36
18.689999999999998,Unit_309,2022-05-29 15:21
19.11,Unit_310,2022-05-29 21:43
19.152,Unit_311,2022-04-26 19:11
18.438,Unit_312,2022-05-29 22:28
19.194,Unit_313,2022-05-30 0:38
19.194,Unit_314,2022-05-29 23:27
18.605999999999998,Unit_315,2022-05-30 2:28
19.026,Unit_316,2022-05-30 14:46
19.404,Unit_317,2022-06-03 22:24
18.438,Unit_318,2022-06-05 10:56
18.9,Unit_319,2022-06-05 17:40
18.942,Unit_320,2022-06-06 4:40
